incident year,reported month,region of origin,region of incident,country of origin,number of dead,minimum estimated number of missing,total number of dead and missing,number of survivors,number of females,number of males,number of children,cause of death,migration route,region of origin group,country of origin group,cause of death category,extracted country,latitude,longitude,skew transformation total number of dead and missing
2016,july,unknown,northern africa,unknown,1,0,1.0,0,0,0,0,violence,sahara desert crossing,unknown,mixed/unknown,violence and related causes,libya,27.0663171,14.3336145,0.6931471805599453
2016,july,unknown,northern africa,unknown,1,0,1.0,0,0,0,0,violence,sahara desert crossing,unknown,mixed/unknown,violence and related causes,libya,27.0663171,14.3336145,0.6931471805599453
2016,july,unknown,northern africa,unknown,3,0,3.0,0,0,0,0,mixed or unknown,sahara desert crossing,unknown,mixed/unknown,mixed or unknown,libya,27.0663171,14.3336145,1.3862943611198906
2016,july,unknown,northern africa,unknown,1,0,1.0,0,0,0,0,"harsh environmental conditions / lack of adequate shelter, food, water",sahara desert crossing,unknown,mixed/unknown,environmental conditions and accidents,libya,27.0663171,14.3336145,0.6931471805599453
2016,july,unknown,northern africa,unknown,1,0,1.0,0,0,0,0,"harsh environmental conditions / lack of adequate shelter, food, water",sahara desert crossing,unknown,mixed/unknown,environmental conditions and accidents,libya,27.0663171,14.3336145,0.6931471805599453
2016,july,unknown,northern africa,unknown,2,0,2.0,0,0,0,0,mixed or unknown,unknown,unknown,mixed/unknown,mixed or unknown,libya,32.7811016,12.4495221,1.0986122886681096
2016,july,unknown,northern africa,unknown,1,0,1.0,0,0,0,0,"harsh environmental conditions / lack of adequate shelter, food, water",unknown,unknown,mixed/unknown,environmental conditions and accidents,libya,32.7811016,12.4495221,0.6931471805599453
2016,july,unknown,western africa,unknown,1,0,1.0,0,0,0,0,vehicle accident / death linked to hazardous transport,sahara desert crossing,unknown,mixed/unknown,environmental conditions and accidents,libya,21.82621055,10.806275375,0.6931471805599453
2016,july,unknown,northern africa,unknown,1,0,1.0,0,0,0,0,violence,sahara desert crossing,unknown,mixed/unknown,violence and related causes,libya,27.0663171,14.3336145,0.6931471805599453
2016,july,unknown,western africa,unknown,1,0,1.0,0,0,0,0,vehicle accident / death linked to hazardous transport,sahara desert crossing,unknown,mixed/unknown,environmental conditions and accidents,libya,21.39722377,10.630494125,0.6931471805599453
2016,july,unknown,western africa,unknown,10,0,10.0,0,0,0,0,"harsh environmental conditions / lack of adequate shelter, food, water",sahara desert crossing,unknown,mixed/unknown,environmental conditions and accidents,libya,23.69020227,12.4102792813,2.3978952727983707
2016,august,eastern africa (p),northern africa,unknown,6,0,6.0,0,0,0,0,mixed or unknown,sahara desert crossing,eastern africa,mixed/unknown,mixed or unknown,sudan,19.5252595,33.2973288,1.9459101490553132
2016,august,eastern africa (p),northern africa,unknown,6,0,6.0,0,0,0,0,mixed or unknown,sahara desert crossing,eastern africa,mixed/unknown,mixed or unknown,egypt,23.459686,30.6654494,1.9459101490553132
2016,august,central america,central america,honduras,1,0,1.0,0,0,1,0,mixed or unknown,unknown,central america,honduras,mixed or unknown,mexico,25.7075289,-100.3233376,0.6931471805599453
2016,august,latin america / caribbean (p),north america,unknown,1,0,1.0,0,0,1,0,"harsh environmental conditions / lack of adequate shelter, food, water",us-mexico border crossing,latin america / caribbean,mixed/unknown,environmental conditions and accidents,united states,32.6308885,-116.948898,0.6931471805599453
2016,august,central america,north america,guatemala,1,0,1.0,0,1,0,0,"harsh environmental conditions / lack of adequate shelter, food, water",us-mexico border crossing,central america,guatemala,environmental conditions and accidents,united states,26.5101629,-99.0262463,0.6931471805599453
2016,august,central america,central america,honduras,1,0,1.0,0,0,1,0,mixed or unknown,unknown,central america,honduras,mixed or unknown,mexico,25.7069264,-100.3263996,0.6931471805599453
2016,august,central america,north america,mexico,1,0,1.0,0,1,0,0,"harsh environmental conditions / lack of adequate shelter, food, water",us-mexico border crossing,central america,mexico,environmental conditions and accidents,united states,32.1278,-112.40978,0.6931471805599453
2016,august,central america,north america,mexico,1,0,1.0,0,0,1,0,"harsh environmental conditions / lack of adequate shelter, food, water",us-mexico border crossing,central america,mexico,environmental conditions and accidents,united states,31.97766,-112.9993,0.6931471805599453
2016,august,unknown,central america,unknown,10,0,10.0,0,1,9,0,drowning,unknown,unknown,mixed/unknown,drowning and related causes,nicaragua,11.2285554,-85.6081101,2.3978952727983707
2016,august,mixed,mediterranean,mixed,21,0,21.0,0,0,0,0,drowning,central mediterranean,mixed,mixed/unknown,drowning and related causes,libya,32.8146949,12.8809105,3.091042453358316
2016,august,central america,central america,honduras,2,0,2.0,0,0,2,0,violence,unknown,central america,honduras,violence and related causes,honduras,14.0655566,-87.210592,1.0986122886681096
2016,august,eastern africa (p),northern africa,unknown,3,0,3.0,0,0,0,0,mixed or unknown,sahara desert crossing,eastern africa,mixed/unknown,mixed or unknown,sudan,19.5252595,33.2973288,1.3862943611198906
2016,august,caribbean,central america,dominican republic,1,0,1.0,0,0,1,0,"harsh environmental conditions / lack of adequate shelter, food, water",us-mexico border crossing,caribbean,dominican republic,environmental conditions and accidents,mexico,24.0227185,-103.1723435,0.6931471805599453
2016,august,latin america / caribbean (p),north america,unknown,1,0,1.0,0,0,1,0,"harsh environmental conditions / lack of adequate shelter, food, water",us-mexico border crossing,latin america / caribbean,mixed/unknown,environmental conditions and accidents,united states,31.82416,-111.03825,0.6931471805599453
2016,august,central america,north america,mexico,1,0,1.0,0,0,1,0,"harsh environmental conditions / lack of adequate shelter, food, water",us-mexico border crossing,central america,mexico,environmental conditions and accidents,united states,31.3643087,-110.9681395,0.6931471805599453
2016,august,central america,north america,mexico,1,0,1.0,0,0,1,0,mixed or unknown,us-mexico border crossing,central america,mexico,mixed or unknown,united states,31.702133,-111.99385,0.6931471805599453
2016,august,latin america / caribbean (p),north america,unknown,1,0,1.0,0,0,1,0,mixed or unknown,us-mexico border crossing,latin america / caribbean,mixed/unknown,mixed or unknown,united states,31.970833,-110.886417,0.6931471805599453
2016,august,latin america / caribbean (p),north america,unknown,1,0,1.0,0,0,1,0,mixed or unknown,us-mexico border crossing,latin america / caribbean,mixed/unknown,mixed or unknown,united states,32.300783,-111.381833,0.6931471805599453
2016,august,central america,north america,mexico,1,0,1.0,0,0,1,0,"harsh environmental conditions / lack of adequate shelter, food, water",us-mexico border crossing,central america,mexico,environmental conditions and accidents,united states,31.811967,-111.841117,0.6931471805599453
2016,august,central america,north america,guatemala,1,0,1.0,0,0,1,0,drowning,us-mexico border crossing,central america,guatemala,drowning and related causes,united states,28.6376735,-100.5282163,0.6931471805599453
2016,august,central america,central america,honduras,1,0,1.0,0,1,0,0,vehicle accident / death linked to hazardous transport,unknown,central america,honduras,environmental conditions and accidents,mexico,24.215586,-99.4332699,0.6931471805599453
2016,august,unknown,mediterranean,unknown,1,0,1.0,182,0,0,0,drowning,central mediterranean,unknown,mixed/unknown,drowning and related causes,libya,32.7956982,12.7087493,0.6931471805599453
2016,august,latin america / caribbean (p),central america,unknown,1,0,1.0,0,0,0,0,drowning,us-mexico border crossing,latin america / caribbean,mixed/unknown,drowning and related causes,mexico,24.215586,-99.4332699,0.6931471805599453
2016,august,central america,north america,guatemala,1,0,1.0,0,0,1,0,"harsh environmental conditions / lack of adequate shelter, food, water",us-mexico border crossing,central america,guatemala,environmental conditions and accidents,united states,29.7898371,-101.5026165,0.6931471805599453
2016,august,central america,north america,mexico,1,0,1.0,0,0,1,0,mixed or unknown,us-mexico border crossing,central america,mexico,mixed or unknown,united states,31.686567,-111.999917,0.6931471805599453
2016,august,latin america / caribbean (p),north america,unknown,1,0,1.0,0,0,1,0,mixed or unknown,us-mexico border crossing,latin america / caribbean,mixed/unknown,mixed or unknown,united states,31.44765,-111.30885,0.6931471805599453
2016,august,latin america / caribbean (p),north america,unknown,1,0,1.0,0,0,1,0,mixed or unknown,us-mexico border crossing,latin america / caribbean,mixed/unknown,mixed or unknown,united states,26.376354,-98.3833477,0.6931471805599453
2016,august,central america,north america,guatemala,1,0,1.0,0,0,1,0,"harsh environmental conditions / lack of adequate shelter, food, water",us-mexico border crossing,central america,guatemala,environmental conditions and accidents,united states,31.710317,-111.988583,0.6931471805599453
2016,august,latin america / caribbean (p),north america,unknown,1,0,1.0,0,0,0,0,"harsh environmental conditions / lack of adequate shelter, food, water",us-mexico border crossing,latin america / caribbean,mixed/unknown,environmental conditions and accidents,united states,26.376354,-98.3833477,0.6931471805599453
2016,august,central america,central america,mexico,1,0,1.0,0,0,1,0,"harsh environmental conditions / lack of adequate shelter, food, water",us-mexico border crossing,central america,mexico,environmental conditions and accidents,mexico,27.7856567,-99.8800832,0.6931471805599453
2016,august,latin america / caribbean (p),central america,unknown,6,0,6.0,0,1,0,1,mixed or unknown,darien,latin america / caribbean,mixed/unknown,mixed or unknown,colombia,7.7811194,-77.9325564,1.9459101490553132
2016,august,eastern africa (p),northern africa,unknown,1,0,1.0,0,0,0,0,mixed or unknown,sahara desert crossing,eastern africa,mixed/unknown,mixed or unknown,egypt,23.285107,31.5204557,0.6931471805599453
2016,august,eastern africa (p),eastern africa,unknown,2,0,2.0,0,0,0,0,violence,sahara desert crossing,eastern africa,mixed/unknown,violence and related causes,eritrea,15.9190121,35.9508095,1.0986122886681096
2016,august,eastern africa (p),northern africa,unknown,1,0,1.0,0,0,0,0,mixed or unknown,sahara desert crossing,eastern africa,mixed/unknown,mixed or unknown,sudan,17.1837833,34.6103947,0.6931471805599453
2016,august,unknown,mediterranean,unknown,0,9,9.0,0,0,0,0,drowning,western mediterranean,unknown,mixed/unknown,drowning and related causes,spain,35.8953846,-5.3348172,2.302585092994046
2016,august,central america,central america,el salvador,1,0,1.0,0,1,0,0,"harsh environmental conditions / lack of adequate shelter, food, water",unknown,central america,el salvador,environmental conditions and accidents,mexico,20.4972401,-99.4826997,0.6931471805599453
2016,august,central america,central america,mexico,1,0,1.0,0,0,1,0,drowning,us-mexico border crossing,central america,mexico,drowning and related causes,mexico,24.215586,-99.4332699,0.6931471805599453
2016,august,eastern africa (p),northern africa,unknown,2,0,2.0,0,0,0,0,vehicle accident / death linked to hazardous transport,sahara desert crossing,eastern africa,mixed/unknown,environmental conditions and accidents,sudan,14.0316722,35.3417723,1.0986122886681096
2016,august,eastern africa (p),northern africa,unknown,2,0,2.0,0,0,0,0,mixed or unknown,sahara desert crossing,eastern africa,mixed/unknown,mixed or unknown,sudan,17.6922271,33.9762492,1.0986122886681096
2016,august,eastern africa (p),northern africa,unknown,2,0,2.0,0,0,0,0,mixed or unknown,sahara desert crossing,eastern africa,mixed/unknown,mixed or unknown,sudan,19.4022552,27.9053789,1.0986122886681096
2016,august,eastern africa (p),eastern africa,unknown,1,0,1.0,0,0,0,0,mixed or unknown,unknown,eastern africa,mixed/unknown,mixed or unknown,ethiopia,9.3521044,42.7773712,0.6931471805599453
2016,august,eastern africa (p),northern africa,unknown,2,0,2.0,0,0,0,0,violence,sahara desert crossing,eastern africa,mixed/unknown,violence and related causes,sudan,17.1497548,34.7322561,1.0986122886681096
2016,august,eastern africa (p),northern africa,unknown,2,0,2.0,0,0,0,0,mixed or unknown,sahara desert crossing,eastern africa,mixed/unknown,mixed or unknown,sudan,20.4172887,32.5608682,1.0986122886681096
2016,august,northern africa,mediterranean,unknown,1,0,1.0,0,0,1,0,mixed or unknown,western mediterranean,northern africa,mixed/unknown,mixed or unknown,spain,36.725051,-3.7379538,0.6931471805599453
2016,august,unknown,mediterranean,unknown,1,0,1.0,0,1,0,0,drowning,central mediterranean,unknown,mixed/unknown,drowning and related causes,libya,32.7956982,12.7087493,0.6931471805599453
2016,august,unknown,mediterranean,unknown,3,0,3.0,0,0,0,0,drowning,central mediterranean,unknown,mixed/unknown,drowning and related causes,libya,32.8579077,12.377552,1.3862943611198906
2016,august,central america,north america,honduras,1,0,1.0,0,0,1,0,"harsh environmental conditions / lack of adequate shelter, food, water",us-mexico border crossing,central america,honduras,environmental conditions and accidents,united states,35.2325495,-100.5998558,0.6931471805599453
